amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
35000,1,0.13,1179.12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,400000,0,0,1,0,0,1,0,0,5.13,1,0,13,0,0.71,44,60996,62700,8,4692,12112,63.3,87698,60996,33000,24998
13600,1,0.08,425.49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,48000,1,0,0,0,0,1,0,0,13.78,0,0,11,0,0.67,20,232213,22700,2,25801,5818,72.2,256301,26431,20900,14425
26500,0,0.17,660.59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,85000,0,1,0,0,0,1,0,0,33.45,0,0,23,0,0.58,32,218743,38500,4,10416,1615,70.6,288447,81133,5500,101240
10400,1,0.12,343.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000,0,1,0,0,0,1,0,0,16.72,0,1,6,0,0.82,12,17200,2000,4,2867,344,73.5,35210,17200,1300,33210
35000,0,0.1,739.53,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,175000,0,1,0,0,0,1,0,0,15.45,1,0,18,0,0.31,33,403072,119700,8,25192,49822,33.7,507590,105432,75100,77890
19700,0,0.17,485.27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,183000,0,0,1,0,0,1,0,0,22.85,0,0,6,0,0.77,19,550353,41600,3,91726,1376,90.2,592600,61492,14000,39000
10350,1,0.06,315.01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,89000,1,0,0,0,0,1,0,0,19.66,0,1,16,0,0.23,63,404242,46100,5,28874,35742,22.5,449167,177683,46100,167067
11000,1,0.14,375.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,67200,0,0,1,0,0,1,0,0,33.55,0,0,6,0,0.66,16,56150,33900,3,9358,6394,7.3,76433,56150,6900,36450
27050,1,0.07,835.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,180000,0,0,1,0,1,0,0,0,25.15,0,0,18,0,0.57,38,114768,78300,6,6376,25667,63,199641,114768,69300,121341
2400,1,0.12,80.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60000,1,0,0,0,0,0,1,0,6.58,2,1,15,0,0.9,29,271823,1800,1,18122,180,90,278436,26511,1800,19980
