iter	RMSE
230	1083.231405
231	1081.280872
232	1080.719009
233	1079.487201
234	1076.495961
235	1075.438146
236	1073.603619
237	1072.09462
238	1071.578551
239	1070.705668
240	1069.664903
241	1068.861396
242	1065.795054
243	1065.146197
244	1062.915358
245	1059.449789
246	1057.425448
247	1056.18584
248	1055.60573
249	1055.206197
250	1051.029353
251	1047.218275
252	1046.853842
253	1044.170885
254	1041.12449
255	1039.17806
256	1038.045611
257	1037.020705
258	1036.246365
259	1033.53061
260	1031.50738
261	1030.537243
262	1029.646255
263	1028.817666
264	1026.926336
265	1024.420446
266	1023.738026
267	1022.804721
268	1021.215362
269	1020.300684
270	1019.64585
271	1017.798204
272	1016.03751
273	1015.621427
274	1015.223715
275	1013.938739
276	1012.659413
277	1011.31487
278	1009.590267
279	1007.852494
280	1006.149543
281	1004.600053
282	1003.934119
283	1001.441515
284	1000.106592
285	999.2768109
286	997.7435808
287	996.2080425
288	993.9545394
289	991.1979805
290	990.09596
291	989.1384555
292	987.2562902
293	986.1470607
294	983.9182763
295	982.6591092
296	981.0395212
297	979.2814106
298	978.1420502
299	976.0974891
300	973.6242706
301	972.5843857
302	971.500725
303	970.8178333
304	970.0070131
305	969.070139
306	967.8565653
307	966.0870993
308	965.4637904
309	964.6156857
310	963.5118831
311	962.6232623
312	961.5150603
313	960.0499301
314	958.8812116
315	958.0761889
316	957.5398843
317	955.5738485
318	954.7022696
319	954.0238158
320	953.1284424
321	952.0648055
322	951.2369971
323	950.4381572
324	949.4718218
325	947.9289778
326	946.9485592
327	945.8097496
328	944.6709646
329	943.7783435
330	942.8755929
331	941.899072
332	940.1922533
333	938.7409238
334	937.5714969
335	936.7292681
336	935.8689765
337	934.7485402
338	932.6095791
339	930.880217
340	930.0777448
341	929.0852336
342	928.0639383
343	926.9200386
344	926.0318373
345	924.962699
346	924.4701213
347	923.456528
348	923.1194719
349	922.0865846
350	921.1350315
351	920.4784554
352	919.888655
353	919.1413327
354	918.1856866
355	917.420917
356	916.2885097
357	915.6110302
358	914.8495204
359	914.2255824
360	913.4086815
361	912.6138596
362	911.785677
363	910.9177204
364	910.1448106
365	909.2832452
366	908.0198088
367	907.1487433
368	906.5209496
369	905.9722292
370	905.1588181
371	904.2990702
372	902.8893585
373	901.5319574
374	901.2144262
375	900.5477149
376	899.5052899
377	898.012898
378	897.6966219
379	896.7487952
380	896.0867894
381	895.536651
382	895.35502
383	894.5531256
384	893.8123631
385	893.0872855
386	892.6409432
387	892.2185705
388	890.857505
389	890.6869213
390	888.9426553
391	888.259742
392	886.8305086
393	885.6729912
394	885.5194488
395	885.3740882
396	884.1290622
397	883.1459241
398	882.3688043
399	881.2937622
400	880.503523
401	880.3712458
402	879.7202975
403	878.8540298
404	878.7289862
405	878.133883
406	877.3344318
407	876.7382025
408	876.1073972
409	875.988745
410	875.2620625
411	874.6086732
412	874.4960886
413	874.3892759
414	873.3017588
415	873.2004582
416	873.0693783
417	872.5618747
418	872.2882269
419	871.7829445
420	871.4634333
421	871.3695613
422	871.1838491
423	871.0948515
424	870.5545322
425	869.8215906
426	869.0924495
427	868.4092548
428	867.978167
429	866.9110171
430	866.2135859
431	865.6901346
432	865.5703578
433	865.4901607
434	865.028922
435	864.6810263
436	863.9568105
437	863.0462375
438	862.3664842
439	860.9935244
440	860.09872
441	859.5883613
442	858.6186992
443	857.9730843
444	857.5895103
445	856.9424844
446	856.1010996
447	855.4066148
448	854.7182473
449	854.0475336
450	853.0514169
451	852.5421165
452	851.6999246
453	850.9236015
454	850.2617613
455	849.840424
456	849.2165406
457	848.6153129
458	848.1124484
459	847.7175876
460	846.322852
461	845.9180971
462	845.327381
463	844.9058062
464	844.4237133
465	843.7596285
466	843.4563705
467	843.0053078
468	842.2111975
469	841.4831487
470	840.7124017
471	839.6764841
472	838.750118
473	837.8196986
474	837.2121867
475	836.2621434
476	835.4469925
477	834.9177683
478	834.1942601
479	833.8116087
480	833.0645018
481	832.1149027
482	831.742969
483	830.7188111
484	829.9944233
485	829.5705772
486	829.1215694
487	828.5208698
488	828.2171924
489	827.5153226
490	827.0590645
491	826.4472512
492	825.9161124
493	825.4997117
494	824.7857349
495	824.4309281
496	824.1937704
497	823.276253
498	822.9386562
499	822.4070306
500	821.6209568
501	820.9662787
502	820.7201309
503	820.509984
504	819.8155317
505	819.7573928
506	819.0602211
507	818.4098314
508	818.3175999
509	817.6557908
510	817.1911926
511	817.1808958
512	816.9293463
513	816.6664327
514	816.007119
515	815.6542179
516	815.3676826
517	814.8859698
518	814.0814236
519	813.2754054
520	812.6966697
521	812.3147596
522	811.8489539
523	811.7918272
524	811.0761212
525	810.8289622
526	810.020324
527	809.526801
528	809.2693068
529	808.5266485
530	807.7197047
531	807.0052644
532	806.7595984
533	806.1936129
534	805.5278193
535	804.7908925
536	804.3556866
537	803.5830541
538	803.5042421
539	802.7754614
540	802.2055385
541	801.7611307
542	801.2336029
543	801.0285451
544	800.2690945
545	799.5316917
546	798.5840776
547	797.9106504
548	797.1380724
549	796.6780859
550	796.254021
551	795.699001
552	795.6582212
553	795.6114466
554	795.3635663
555	795.0726678
556	795.0334374
557	794.9585176
558	794.6816071
559	794.257645
560	793.9961431
561	793.4928304
562	793.0467311
563	792.3711645
564	791.7813509
565	791.389251
566	790.9913992
567	790.8085885
568	789.6696631
569	789.3155845
570	788.7756788
571	788.0848833
572	787.3869397
573	787.1281086
574	786.6780336
575	786.2272392
576	786.1892596
577	785.5654301
578	785.2915809
579	785.0868348
580	784.8533457
581	784.630546
582	784.2339492
583	784.1551957
584	784.1144548
585	784.074668
586	783.8389932
587	783.631169
588	782.6587029
589	782.2947819
590	781.8020745
591	781.4718587
592	781.4050728
593	781.3678845
594	781.0699051
595	780.6393691
596	779.9694573
597	779.701064
598	778.8476129
599	778.0457293
600	777.9218423
601	777.6262433
602	777.5895247
603	777.1923909
604	776.9480831
605	776.4886766
606	776.4439602
607	775.4284171
608	775.3088835
609	774.6753754
610	774.5589947
611	774.1289932
612	773.9243778
613	773.8856285
614	773.5161876
615	773.4796916
616	773.12186
617	772.8613701
618	772.4334937
619	772.3697527
620	772.1264524
621	771.2600446
622	771.0656204
623	770.6502371
624	770.5809604
625	770.1682407
626	770.1061031
627	769.6863178
628	769.6567515
629	769.0799579
630	768.9556371
631	768.6381362
632	768.0123915
633	767.4280059
634	766.7467152
635	766.4601656
636	766.1884292
637	765.7275387
638	765.5966198
639	765.1397656
640	764.6476736
641	764.222686
642	763.8655924
643	763.3750116
644	763.0598583
645	762.9396062
646	762.7659199
647	762.2373518
648	761.8402481
649	761.4336327
650	760.5790877
651	760.3691035
652	760.120875
653	759.8190536
654	759.4391916
655	758.9378856
656	758.713687
657	758.1943298
658	757.9825102
659	757.6083302
660	757.119846
661	756.982582
662	756.5470652
663	756.0800503
664	755.4795933
665	755.1623583
666	754.7202508
667	754.0129101
668	753.4249492
669	752.9954693
670	752.5409486
671	752.1323375
672	751.7963398
673	751.6009785
674	751.2140427
675	750.8399384
676	750.5533117
677	750.115951
678	749.9685106
679	749.5189707
680	749.3688588
681	748.9539473
682	748.5859071
683	748.1630479
684	747.8201028
685	747.5314017
686	747.3132339
687	747.1554944
688	746.392386
689	745.9429202
690	745.0913023
691	744.5185233
692	744.3660986
693	744.2230715
694	743.7641749
695	743.6303269
696	743.4233628
697	743.0352987
698	742.912999
699	742.6110763
700	742.3158601
701	741.9836886
702	741.7057906
703	741.5881233
704	741.2486024
705	740.848019
706	740.6456642
707	740.1944616
708	739.8813285
709	739.6314386
710	739.3495247
711	738.9242246
712	738.3095378
713	737.7638026
714	737.3960119
715	737.1402352
716	736.8415273
717	736.4724504
718	736.1976986
719	735.7789864
720	735.5959523
721	735.330686
722	734.5568056
723	734.2163359
724	733.9157863
725	733.5774314
726	733.31831
727	733.007303
728	732.8308327
729	732.569337
730	732.2075427
731	732.1071897
732	731.8880389
733	731.7861321
734	731.5904704
735	731.4340999
736	731.3879883
737	730.8942858
738	730.8500542
739	730.5406127
740	730.4404689
741	730.0979204
742	729.8053378
743	729.6903214
744	729.4432573
745	729.2877272
746	729.0089557
747	728.7889107
748	728.3954646
749	727.9270996
750	727.843164
751	727.6411879
752	727.3501882
753	726.8011521
754	726.4567534
755	726.2303584
756	725.9816067
757	725.7126582
758	725.2586779
759	724.7436052
760	723.9825383
761	723.753647
762	723.563446
763	723.3916318
764	723.0970968
765	722.8827156
766	722.5731377
767	722.3831942
768	721.8938785
769	721.5811651
770	721.3517014
771	720.8840379
772	720.6267844
773	720.1858031
774	719.7931154
775	719.5814263
776	719.3356096
777	719.1945275
778	718.9663194
779	718.6408738
780	718.0898755
781	717.7937971
782	717.4836508
783	717.2857383
784	716.9825422
785	716.8064543
786	716.4680392
787	716.2624629
788	716.0614559
789	715.8291238
790	715.378978
791	715.108959
792	714.70109
793	714.4585661
794	714.2412813
795	714.1365638
796	714.0275455
797	713.641969
798	713.3604643
799	713.1821229
800	712.9040922
801	712.7704904
802	712.5428408
803	712.3267685
804	711.9680088
805	711.7103209
806	711.5252474
807	711.2583073
808	710.9518962
809	710.9213884
810	710.7410942
811	710.4554716
812	710.1642833
813	709.8711381
814	709.7617305
815	709.4847415
816	709.1105728
817	708.7933624
818	708.5837953
819	708.5435808
820	707.8845854
821	707.6246037
822	707.4674202
823	707.4483177
824	707.4297249
825	706.9611745
826	706.7061142
827	706.4323066
828	706.1446454
829	706.0143202
830	705.7458075
831	705.546124
832	705.275552
833	705.0793466
834	704.6662685
835	704.3841188
836	704.1388789
837	703.8414832
838	703.5694055
839	703.5308996
840	703.333032
841	703.0155904
842	702.7412206
843	702.1701531
844	702.0132195
845	701.7640575
846	701.533662
847	701.3483049
848	701.1607835
849	700.9328884
850	700.6877949
851	700.3619475
852	700.2456612
853	700.0807524
854	699.972963
855	699.6428987
856	699.6017914
857	699.4263945
858	699.2225748
859	698.7692408
860	698.6079288
861	698.383862
862	698.2693723
863	698.2306774
864	697.9660655
865	697.2839663
866	696.6510845
867	696.4616134
868	696.2485841
869	695.9444034
870	695.6432271
871	695.452946
872	695.2791442
873	695.2196566
874	695.0355219
875	694.9108908
876	694.6228612
877	694.2467809
878	694.0025016
879	693.9482544
880	693.6802684
881	693.5354067
882	693.4079875
883	693.1298147
884	692.9439517
885	692.7776408
886	692.5265377
887	691.9250366
888	691.8096174
889	691.3255595
890	691.0090943
891	690.6757056
892	690.3493974
893	690.1831928
894	690.0144106
895	689.6038799
896	689.3518794
897	689.3166876
898	689.1906159
899	688.8572659
900	688.7713643
901	688.5031071
902	688.3180017
903	687.9371506
904	687.7726539
905	687.6575836
906	687.5121996
907	687.3229212
908	687.0350184
909	686.8880045
910	686.6843062
911	686.3233452
912	686.0771303
913	685.9008867
914	685.8014225
915	685.5832556
916	685.2084261
917	684.8819345
918	684.7001455
919	684.5026286
920	684.2981261
921	684.1915549
922	684.0888474
923	683.9898376
924	683.6975858
925	683.6051267
926	683.2741325
927	683.0410545
928	682.8965158
929	682.5902495
930	682.4607906
931	682.3659349
932	682.2398012
933	681.9529711
934	681.7316456
935	681.4699111
936	681.1797807
937	681.0103145
938	680.8711412
939	680.6646134
940	680.4431505
941	680.3677518
942	680.1699491
943	679.8271834
944	679.7415894
945	679.5544327
946	679.4819164
947	679.2504771
948	678.7128518
949	678.2787948
950	678.0344429
951	677.7016004
952	677.562437
953	677.3224695
954	677.0324835
955	676.9640816
956	676.9284669
957	676.5746022
958	676.5008852
959	676.4152769
960	676.3429404
961	676.0736717
962	675.9185572
963	675.7420318
964	675.6144656
965	675.5325341
966	675.4652513
967	675.2963344
968	675.2631545
969	675.0297425
970	674.8513166
971	674.3959237
972	674.2329288
973	673.9786332
974	673.8777766
975	673.4149731
976	673.382285
977	673.1740197
978	673.0923476
979	672.8474096
980	672.7304236
981	672.3186868
982	672.2594049
983	672.0051157
984	671.9297455
985	671.7758829
986	671.0613572
987	670.8325819
988	670.5754059
989	670.5082327
990	670.3647465
991	670.0771193
992	669.9087985
993	669.8526166
994	669.7480936
995	669.5212804
996	669.4690907
997	669.2776508
998	669.1846705
999	668.9500324
